id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14551,Condo in Girona · ★4.84 · 1 bedroom · 1 bed · 1 private bath,57237,Mun,,Girona,41.9951737346185,2.8366728538073427,Private room,65,2,64,2023-09-11,0.40,1,211,9,HUTG-049542
45400,Rental unit in Begur · ★4.75 · 1 bedroom · 2 beds · 1 bath,201228,Oscar,,Begur,41.95586,3.21224,Entire home/apt,91,1,404,2023-10-20,2.55,1,328,37,
48764,Home in Torroella de Fluvià · ★4.84 · 4 bedrooms · 5 beds · 2 baths,220145,Dick And Ann,,Torroella de Fluvià,42.17604,3.03782,Entire home/apt,120,5,40,2023-08-29,0.26,1,5,6,HUTG-000207
93343,Home in L'Escala · 3 bedrooms · 5 beds · 2 baths,477826,Francisco,,L'Escala,42.10405,3.14936,Entire home/apt,173,2,0,,,1,88,0,HUTG-001447
101580,Villa in Lloret de Mar · ★4.84 · 4 bedrooms · 12 beds · 4 baths,532063,Xavier,,Lloret de Mar,41.70754,2.88858,Entire home/apt,1114,2,25,2023-09-09,0.31,1,361,3,HUTG-015230
106704,Farm stay in Llagostera · ★4.56 · 4 bedrooms · 12 beds · 4.5 baths,553059,Laura,,Llagostera,41.83841,2.93856,Entire home/apt,231,2,26,2023-07-31,0.17,5,0,2,PG-002599
121666,Home in Torroella de Montgrí · ★4.47 · 2 bedrooms · 4 beds · 1 bath,611063,Alicia,,Torroella de Montgrí,42.01023,3.19079,Entire home/apt,88,5,62,2023-11-02,0.49,1,299,14,HUTG-012492-54
121962,Farm stay in Llagostera · ★4.62 · 6 bedrooms · 11 beds · 6.5 baths,553059,Laura,,Llagostera,41.84007,2.94776,Entire home/apt,981,2,30,2023-08-25,0.23,5,363,5,PG-000599
122273,Farm stay in Llagostera · ★4.68 · 1 bedroom · 4 beds · 1 bath,553059,Laura,,Llagostera,41.84115,2.95071,Entire home/apt,124,1,44,2023-08-27,0.31,5,319,7,
122371,Home in Pals · 3 bedrooms · 5 beds · 2 baths,613396,Dolphi,,Pals,41.973393,3.174402,Entire home/apt,249,3,2,2023-08-24,0.42,1,248,2,HUTG-025420
130159,Rental unit in Blanes · ★4.88 · 2 bedrooms · 3 beds · 3 baths,632158,Francisco,,Blanes,41.6657,2.78242,Entire home/apt,92,6,27,2023-07-31,0.18,1,304,2,
131374,Home in Riudarenes · ★4.50 · 4 bedrooms · 5 beds · 3 baths,646551,Jesús,,Riudarenes,41.82211,2.71769,Entire home/apt,369,2,12,2023-05-31,0.11,3,358,2,PG000877
154339,Home in Lloret de Mar · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,2552,Barbara,,Lloret de Mar,41.74161,2.81972,Entire home/apt,127,5,3,2019-08-29,0.02,1,365,0,
794265,Home in Girona · ★4.52 · 3 bedrooms · 7 beds · 1 bath,4192751,Xenia,,Calonge,41.84256,3.09245,Entire home/apt,254,2,25,2023-09-17,0.31,1,363,6,HUTG-015555
349360,Rental unit in Girona · ★4.89 · 1 bedroom · 2 beds · 1 bath,725885,Oriol,,Girona,41.98876,2.83008,Entire home/apt,90,4,150,2023-11-03,1.07,1,116,11,HUTG-018697
359056,Home in Torroella de Montgrí · ★4.73 · 3 bedrooms · 5 beds · 2 baths,1817196,Anna,,Torroella de Montgrí,42.08148,3.11727,Entire home/apt,184,3,11,2023-08-06,0.09,4,299,1,pg-005070
168832,Home in Camallera · ★4.65 · 5 bedrooms · 8 beds · 3 baths,804674,Jordi,,Saus,42.12541,2.93686,Entire home/apt,50,7,17,2023-09-13,0.13,1,17,2,HUTG-020858
378198,Home in Tossa de Mar · ★4.74 · 4 bedrooms · 6 beds · 2 baths,1298586,Kristjan & Ana,,Tossa de Mar,41.71809,2.92824,Entire home/apt,132,2,34,2023-08-15,0.26,96,0,1,HUTG-011068
809104,Rental unit in Albons · ★4.60 · 3 bedrooms · 5 beds · 2 baths,4208003,Cristina,,Albons,42.10369,3.0823,Entire home/apt,126,1,6,2022-07-17,0.05,23,200,0,HUTG-003712
809136,Rental unit in Albons · ★5.0 · 2 bedrooms · 2 beds · 1 bath,4208003,Cristina,,Albons,42.10369,3.0823,Entire home/apt,146,1,5,2019-06-01,0.05,23,33,0,HUTG-001370
207996,Rental unit in Rupià · ★4.64 · 1 bedroom · 3 beds · 1 bath,1023612,Mercè,,Rupià,42.0178,3.01117,Entire home/apt,150,4,14,2023-08-29,0.12,2,187,3,HUTG-011718
810373,Rental unit in Roses · ★4.66 · 2 bedrooms · 3 beds · 1 bath,4261656,Lisa,,Roses,42.24734,3.1973,Entire home/apt,117,3,93,2023-10-28,0.77,1,239,7,HUTG-016748
215226,Townhouse in Castell-Platja d'Aro · ★4.83 · 3 bedrooms · 5 beds · 3.5 baths,235146583,Stefan Gabriel,,Castell-Platja d'Aro,41.79166,3.05456,Entire home/apt,220,7,6,2023-10-22,0.05,23,250,4,HUTG-023244
254100,Home in Ventalló · ★3.50 · 3 bedrooms · 4 beds · 1.5 baths,1205693,Ester,,Ventalló,42.14882,3.02667,Entire home/apt,95,1,4,2023-08-13,0.03,1,364,1,Exempt
398377,Home in Begur · ★4.74 · 1 bedroom · 1 bed · 1.5 shared baths,1989406,Mari,,Begur,41.95527,3.20726,Private room,70,2,244,2023-10-14,1.72,3,135,22,HUTG-017806
262941,Rental unit in Palafrugell · ★4.80 · 6 bedrooms · 9 beds · 4.5 baths,1379849,Inmaculada,,Palafrugell,41.92025,3.21381,Entire home/apt,500,7,41,2023-07-22,0.32,1,235,1,HUTG-049963
