id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
102558,Rental unit in Ciutadella de Menorca · ★4.66 · 2 bedrooms · 4 beds · 1 bath,536023,Yolanda,,Ciutadella de Menorca,39.9434,3.9613,Entire home/apt,80,4,58,2023-09-17,0.38,1,353,7,ET2253ME
285865,Rental unit in Menorca · ★4.30 · 1 bedroom · 1 bed · 1 bath,1487752,Roberto,,Ciutadella de Menorca,40.00245,3.79967,Entire home/apt,69,2,133,2023-11-04,0.95,1,274,26,
294398,Home in Alaior · ★4.55 · 9 bedrooms · 13 beds · 5 baths,312145,Natalia,,Alaior,39.89082,4.11595,Entire home/apt,567,32,11,2019-09-08,0.11,3,362,0,
295705,Cottage in Alaior · ★4.83 · 11 bedrooms · 15 beds · 9 baths,312145,Natalia,,Alaior,39.89028,4.11476,Entire home/apt,1125,32,24,2022-05-30,0.17,3,317,0,
334376,Home in Menorca · ★4.71 · 3 bedrooms · 3 beds · 2 baths,1913268,Familia,,Ciutadella de Menorca,40.00341,3.83849,Entire home/apt,70,3,44,2022-09-28,0.31,4,181,0,
357026,Condo in Alaior · ★4.99 · 2 bedrooms · 3 beds · 1 bath,1740878,Emilio,,Alaior,39.9052,4.07072,Entire home/apt,75,3,66,2023-11-03,0.47,1,0,18,Licencia San Jaume Zona 5 APM-1880
358378,Rental unit in Alaior · ★4.82 · 2 bedrooms · 3 beds · 1 bath,1807049,Miguel Angel,,Alaior,39.90183,4.07595,Entire home/apt,150,5,82,2023-10-25,0.73,1,118,16,
366358,Home in Ciutadella de Menorca · ★4.93 · 7 bedrooms · 7 beds · 5.5 baths,1849697,Alessandro,,Ciutadella de Menorca,40.03581,3.96544,Entire home/apt,495,5,40,2023-09-26,0.28,1,285,2,ET 1646 ME
366636,Condo in Alaior · ★4.52 · 2 bedrooms · 3 beds · 1 bath,1851146,Carmen,,Alaior,39.90128,4.07565,Entire home/apt,120,10,27,2023-08-31,0.21,1,346,3,
370676,Home in Ciutadella de Menorca · ★5.0 · 5 bedrooms · 6 beds · 3.5 baths,1868061,Olga,,Ciutadella de Menorca,40.00409,3.83713,Entire home/apt,550,2,9,2023-08-18,0.13,1,173,2,
372756,Home in Alaior · 3 bedrooms · 4 beds · 2 baths,312145,Natalia,,Alaior,39.87626,4.13161,Entire home/apt,500,32,1,2012-08-16,0.01,3,365,0,
382144,Cabin in Menorca · ★4.80 · 1 bedroom · 1 bed · 1 bath,1913268,Familia,,Ciutadella de Menorca,40.0212,3.9406,Entire home/apt,90,6,85,2023-09-17,0.60,4,239,6,
394135,Cottage in Menorca · ★4.91 · 2 bedrooms · 3 beds · 1.5 baths,1968952,Anne,,Ciutadella de Menorca,40.01446,3.84385,Entire home/apt,160,8,107,2023-10-14,0.76,2,159,13,CE0738ME
403664,Home in Menorca · ★4.82 · 2 bedrooms · 2 beds · 2 baths,1913268,Familia,,Ciutadella de Menorca,39.99341,3.83044,Entire home/apt,142,5,111,2023-08-20,0.80,4,343,5,
425853,Rental unit in Balearic Islands · ★4.70 · 2 bedrooms · 2 beds · 1 bath,2117118,Jonathan,,Es Mercadal,40.048770904541016,4.109414100646973,Entire home/apt,78,6,98,2023-09-17,0.69,1,13,6,ET 3015 ME
434190,Rental unit in Menorca · ★4.77 · 1 bedroom · 1 bed · 1 bath,2155055,María Isabel,,Ciutadella de Menorca,39.92443,3.82661,Entire home/apt,60,4,77,2023-11-07,0.55,1,289,22,
494480,Condo in Menorca · ★4.52 · 1 bedroom · 3 beds · 1 bath,715601,Jose Luis,,Ciutadella de Menorca,39.99876,3.79916,Entire home/apt,64,1,49,2023-08-07,0.39,3,326,3,ET2739ME
517301,Cottage in Mahon · ★4.86 · 2 bedrooms · 3 beds · 2 baths,2546568,Paqui,,Mahón,39.93384,4.24331,Entire home/apt,160,3,73,2023-10-10,0.53,1,160,11,ET 0275 ME
545844,Townhouse in Menorca  · ★4.82 · 2 bedrooms · 3 beds · 2 baths,2684640,María José,,Es Mercadal,40.02113,4.18331,Entire home/apt,149,6,60,2023-09-13,0.47,1,325,10,
549304,Home in Menorca · ★4.89 · 4 bedrooms · 7 beds · 3 baths,2700491,Angeles,,Ciutadella de Menorca,40.00432493804192,3.8381131362578227,Entire home/apt,124,5,136,2023-09-23,0.98,1,164,19,ET 1126 MR
580840,Home in Menorca · ★4.79 · 2 bedrooms · 3 beds · 1.5 baths,1968952,Anne,,Ciutadella de Menorca,39.99918,3.83706,Entire home/apt,85,6,147,2023-10-21,1.06,2,196,16,CE0738ME
596553,Home in Es Mercadal · ★4.85 · 1 bedroom · 1 bed · 1 bath,2949986,Gabriel Y Beatriz,,Es Mercadal,39.97447,4.15116,Entire home/apt,180,7,67,2022-08-21,0.52,1,363,0,
636272,Rental unit in Menorca · ★4.58 · 2 bedrooms · 5 beds · 1 bath,3171398,Esteban,,Ciutadella de Menorca,39.92943,3.8366,Entire home/apt,151,5,19,2023-08-27,0.17,1,357,4,ET3017ME
725695,Cottage in Alaior · ★4.76 · 6 bedrooms · 6 beds · 4 baths,3753883,Natalia,,Alaior,39.93556,4.1406,Entire home/apt,450,2,51,2023-07-31,0.45,1,328,8,HET Exp 009
854050,Villa in Torre del Ram · ★4.52 · 5 bedrooms · 8 beds · 3.5 baths,4459815,Jesus,,Ciutadella de Menorca,40.00474,3.80502,Entire home/apt,328,2,25,2023-06-03,0.22,2,330,1,VT/696/ME
854051,Villa in Torre del Ram · ★4.50 · 5 bedrooms · 8 beds · 3 baths,4459815,Jesus,,Ciutadella de Menorca,40.00415,3.80636,Entire home/apt,328,1,6,2023-09-27,0.05,2,330,1,VT/696/ME
864172,Rental unit in Platges de Fornells · ★4.82 · 1 bedroom · 2 beds · 1 bath,3571207,Gemma,,Es Mercadal,40.05232,4.10984,Entire home/apt,130,10,22,2023-07-27,0.17,1,347,2,
932244,Home in Es Mercadal · ★4.91 · 1 bedroom · 1 bed · 1 private bath,5013601,Alessandro,,Es Mercadal,40.00418,4.19386,Private room,55,5,131,2023-09-05,1.04,4,177,10,
932315,Home in Puerto Luz · ★4.85 · 1 bedroom · 1 bed · 1 private bath,5013601,Alessandro,,Es Mercadal,40.00604,4.19294,Private room,55,5,121,2023-09-25,0.95,4,183,15,
954903,Home in Maó · 5 bedrooms · 5 beds · 3 baths,5186207,Francisco,,Mahón,39.87655,4.26061,Entire home/apt,275,7,0,,,3,349,0,
959071,Rental unit in Balearic Islands · ★4.57 · 2 bedrooms · 3 beds · 1 bath,5219222,Tano,,Ciutadella de Menorca,40.00139,3.80005,Entire home/apt,50,3,66,2023-06-06,0.53,5,263,1,APM2108
965059,Villa in Sant Lluís · ★5.0 · 4 bedrooms · 8 beds · 2 baths,5261775,Soledad,,Sant Lluís,39.81873,4.24766,Entire home/apt,290,8,3,2022-07-29,0.06,1,365,0,
967834,Home in Menorca · ★4.96 · 3 bedrooms · 3 beds · 2.5 baths,5719722,Roser,,Ciutadella de Menorca,39.99783,3.84152,Entire home/apt,236,2,183,2023-10-29,1.46,2,0,30,CE0839ME
976380,Rental unit in San Lluis · ★4.87 · 2 bedrooms · 3 beds · 1 bath,5342587,Willy Y Yago,,Sant Lluís,39.82241,4.24793,Entire home/apt,82,7,137,2023-10-21,1.08,3,339,17,ET 2870 ME
976381,Rental unit in Binibeca · ★4.84 · 2 bedrooms · 3 beds · 1 bath,5342587,Willy Y Yago,,Sant Lluís,39.82105,4.24588,Entire home/apt,81,7,112,2023-10-29,1.07,3,0,15,ET 2870 ME
976386,Rental unit in Binibeca · ★4.79 · 2 bedrooms · 3 beds · 1 bath,5342587,Willy Y Yago,,Sant Lluís,39.82081,4.24614,Entire home/apt,82,7,105,2023-10-20,1.04,3,323,18,ET 2870 ME
994133,Townhouse in Serpentona · ★4.80 · 2 bedrooms · 3 beds · 1 bath,5460821,Joana,,Ciutadella de Menorca,39.94137,3.96065,Entire home/apt,52,4,115,2023-11-02,0.90,1,0,22,1340
999469,Condo in Ciutadella · ★4.83 · 2 bedrooms · 4 beds · 1 bath,715601,Jose Luis,,Ciutadella de Menorca,39.92813,3.83165,Entire home/apt,69,1,53,2023-10-22,0.42,3,305,20,
