,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,single_parents,two_plus_person_household,one_person_household,married,not_married,household_income,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_50000_59999,income_between_60000_79999,income_between_80000_99999,low_income_percent,non_immigrants,immigrants,apart_5_plus,single_detached_house,other_dwelling,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,no_certificate_diploma_degree,highschool_diploma,post_secondary_diploma,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,avg_household_size,income_above_100k,total_population
city of toronto,140510.0,128065.0,132295.0,150045.0,183470.0,211850.0,201165.0,190405.0,197405.0,207630.0,191295.0,162535.0,140965.0,102450.0,86190.0,74215.0,59630.0,36930.0,13875.0,3625.0,530.0,565935.0,31140.0,331180.0,1131780.0,1082410.0,1047875.0,40120.0,24230.0,36950.0,58390.0,99650.0,97935.0,95330.0,84030.0,135840.0,101985.0,19.3,1258870.0,1252215.0,429225.0,72400.0,2195.0,571790.0,476085.0,989695.0,58180.0,903090.0,144785.0,380965.0,523320.0,1271545.0,1399990.0,99070.0,1300920.0,567555.0,53380.0,429275.0,85475.0,25350.0,13585.0,2.299,273420.0,2615080.0
agincourt north,1320.0,1345.0,1560.0,2000.0,2165.0,2145.0,1685.0,1715.0,2125.0,2655.0,2360.0,2105.0,2000.0,1430.0,1245.0,1025.0,745.0,420.0,170.0,55.0,5.0,5740.0,890.0,1170.0,15005.0,11050.0,9140.0,250.0,160.0,170.0,480.0,775.0,1065.0,920.0,730.0,1220.0,1150.0,18.8,7860.0,21490.0,2130.0,820.0,20.0,7340.0,1805.0,8335.0,820.0,7605.0,1535.0,5965.0,7480.0,12325.0,14920.0,1330.0,13585.0,7550.0,920.0,3490.0,420.0,20.0,60.0,3.002,2195.0,30275.0
agincourt south malvern west,1080.0,930.0,1150.0,1480.0,1630.0,1500.0,1275.0,1360.0,1605.0,1950.0,1770.0,1500.0,1325.0,905.0,850.0,705.0,565.0,290.0,105.0,10.0,5.0,4305.0,580.0,1030.0,10600.0,8240.0,6885.0,175.0,120.0,185.0,210.0,525.0,755.0,805.0,695.0,1050.0,745.0,17.9,7105.0,14225.0,1900.0,320.0,60.0,5240.0,1640.0,6295.0,590.0,5895.0,995.0,4070.0,4840.0,9695.0,11030.0,975.0,10060.0,5520.0,725.0,2565.0,270.0,10.0,85.0,2.736,1595.0,21990.0
alderwood,610.0,495.0,555.0,650.0,685.0,680.0,835.0,780.0,890.0,1055.0,1070.0,885.0,715.0,500.0,395.0,405.0,355.0,255.0,60.0,10.0,0.0,2860.0,160.0,1195.0,5630.0,4610.0,4665.0,110.0,35.0,70.0,120.0,455.0,305.0,495.0,305.0,665.0,575.0,9.4,7655.0,4165.0,325.0,520.0,0.0,3635.0,1025.0,4605.0,50.0,4205.0,455.0,2290.0,2560.0,5355.0,6735.0,365.0,6365.0,3940.0,255.0,1380.0,180.0,55.0,85.0,2.47,1535.0,11885.0
annex,865.0,695.0,635.0,870.0,3045.0,4190.0,2995.0,2085.0,1900.0,1860.0,1715.0,1680.0,1805.0,1385.0,1100.0,840.0,685.0,465.0,235.0,80.0,15.0,5650.0,85.0,8080.0,10995.0,15995.0,15545.0,940.0,685.0,730.0,1120.0,1225.0,1075.0,1180.0,995.0,1795.0,1300.0,20.3,17900.0,8560.0,7550.0,1215.0,65.0,5765.0,9780.0,15275.0,260.0,14505.0,1040.0,1690.0,4275.0,19220.0,18080.0,745.0,17340.0,3430.0,235.0,5875.0,2995.0,1580.0,345.0,1.71,4500.0,29145.0
banbury don mills,1180.0,1205.0,1325.0,1440.0,1280.0,1420.0,1500.0,1705.0,2275.0,2305.0,1970.0,1635.0,1610.0,1280.0,1225.0,1140.0,1215.0,765.0,350.0,105.0,15.0,6595.0,195.0,4180.0,12965.0,10245.0,11775.0,170.0,115.0,240.0,640.0,1030.0,925.0,930.0,995.0,1505.0,1250.0,12.8,13130.0,12765.0,5800.0,285.0,0.0,7030.0,4730.0,11410.0,360.0,10780.0,985.0,2300.0,4715.0,15840.0,13990.0,795.0,13215.0,7435.0,650.0,2900.0,475.0,0.0,120.0,2.1185,3935.0,26945.0
bathurst manor,850.0,710.0,750.0,885.0,925.0,1000.0,1120.0,1030.0,1170.0,1220.0,1190.0,925.0,840.0,565.0,505.0,540.0,560.0,405.0,190.0,50.0,10.0,3485.0,155.0,1710.0,7085.0,6035.0,6020.0,195.0,145.0,140.0,455.0,615.0,610.0,495.0,585.0,635.0,590.0,18.4,6760.0,8025.0,1945.0,145.0,10.0,3235.0,2795.0,5740.0,265.0,5215.0,805.0,2440.0,2885.0,7500.0,8045.0,510.0,7540.0,3770.0,215.0,2475.0,265.0,70.0,70.0,2.432,1545.0,15440.0
bay street corridor,795.0,345.0,235.0,665.0,3075.0,3695.0,2760.0,1535.0,1055.0,995.0,850.0,785.0,750.0,530.0,460.0,320.0,285.0,150.0,50.0,10.0,0.0,3855.0,30.0,5965.0,7335.0,10645.0,10985.0,1590.0,415.0,545.0,490.0,940.0,815.0,740.0,805.0,1440.0,900.0,31.6,8010.0,7740.0,11070.0,0.0,0.0,3550.0,7435.0,10475.0,505.0,9475.0,1515.0,660.0,3175.0,13320.0,11290.0,880.0,10415.0,1790.0,165.0,2820.0,4120.0,245.0,130.0,1.615,2315.0,19345.0
bayview village,665.0,620.0,765.0,955.0,1190.0,1675.0,1415.0,1345.0,1335.0,1310.0,1240.0,1135.0,1050.0,765.0,680.0,530.0,490.0,345.0,130.0,40.0,10.0,4415.0,145.0,2240.0,8685.0,6940.0,7380.0,365.0,115.0,160.0,210.0,480.0,465.0,770.0,650.0,1010.0,805.0,16.4,6235.0,10550.0,3735.0,135.0,5.0,4810.0,2570.0,6920.0,445.0,6425.0,960.0,1260.0,2880.0,11080.0,9550.0,540.0,9010.0,4275.0,310.0,2800.0,195.0,0.0,40.0,2.109,2285.0,17690.0
bayview woods steeles,420.0,545.0,675.0,945.0,945.0,760.0,490.0,625.0,910.0,1075.0,1015.0,920.0,1000.0,745.0,745.0,605.0,490.0,380.0,175.0,50.0,10.0,3210.0,200.0,895.0,6740.0,5145.0,4720.0,60.0,115.0,70.0,210.0,470.0,415.0,350.0,320.0,570.0,415.0,20.2,5055.0,7775.0,1705.0,490.0,0.0,2795.0,1930.0,4565.0,150.0,4380.0,340.0,1420.0,2430.0,7675.0,6620.0,565.0,6065.0,3125.0,230.0,1595.0,155.0,0.0,20.0,2.565,1695.0,13525.0
