,neighbourhood,single_detached_house,apart_5_plus,other_dwelling,avg_household_size,married,not_married,single_parents,one_person_household,two_plus_person_household,low_income_percent,non_immigrants,immigrants,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,household_income,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_50000_59999,income_above_100k,income_between_15000_19999,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_60000_79999,income_between_80000_99999,no_certificate_diploma_degree,highschool_diploma,post_secondary_diploma,total_population,num_crimes
0,agincourt north,3345,2120,3645,3.16,14200,11075,1650,1350,290,21.3,7895,19995,7395,1720,8455,675,7805,1315,25000,11060,13940,7155,930,3350,265,70,45,660620,695620,660595,840865,1015975,10151005,835935,680775,760910,8901060,11601290,10601165,9251070,925985,590690,490575,380485,210350,100160,2560,100,9120,155,105,160,800,2505325,450,320540,420455,420435,700635,525515,6550,7460,10985,59357790,171
1,agincourt southmalvern west,2790,3145,2200,2.88,11205,9475,1360,1615,445,22.6,7190,15095,5890,2250,7590,555,7165,970,20400,8270,12140,6135,665,2985,280,35,65,575530,540495,460475,780690,1000895,1045975,820835,625715,610745,760885,970975,850915,710795,630690,425450,350405,240350,155205,45100,2020,0,8135,315,140,195,770,2030285,265,315400,370385,370415,645595,510405,4035,6090,10285,11604145,305
2,alderwood,2840,255,1525,2.6,5735,4550,670,1105,185,8.2,7975,3970,3675,950,4515,95,4285,325,10265,3245,7015,4090,355,1285,195,65,65,360320,270325,225255,285290,355310,355350,410430,455450,420445,440430,515515,540485,390400,300325,205210,155180,105210,65130,3570,105,50,4620,55,45,80,335,1915360,90,145150,155170,160165,300320,275250,2005,2960,5300,5859785,121
3,annex,645,8165,7125,1.8,12275,15890,895,7885,1430,18.3,19030,8270,6060,9870,15730,210,15125,800,26305,6925,19365,3290,290,6200,3200,1675,225,445480,365400,325355,465550,12151520,20802265,16101675,10551040,835915,850855,920935,855915,755940,780950,640700,485565,335425,230345,80260,2590,255,15935,850,485,655,1000,58952670,740,620530,525555,540505,900795,715605,1585,4270,20430,67983935,601
4,banburydon mills,3485,6270,2370,2.23,13240,10850,1255,4350,375,13.7,13310,13195,7390,4735,11720,405,11255,865,23385,8965,14440,7150,500,2945,615,65,140,570500,660600,675600,715660,700650,645745,735860,735895,815975,10101170,11101115,9301005,730895,715955,570790,505730,435650,340615,175360,20105,205,12125,265,155,235,930,46151750,400,395445,405470,460400,885780,655605,2295,5150,15950,40255080,182
5,bathurst manor,2105,2055,1925,2.56,7110,6440,880,1660,300,17.0,7135,8020,3285,2800,5765,325,5380,705,13270,4430,8840,3910,265,2870,215,15,90,435400,355365,415330,490405,530510,465480,485575,580615,435575,535650,605630,565605,385470,380415,225275,200280,165285,110265,80165,2045,105,6085,130,85,155,400,2025515,415,245230,220255,240245,430390,310300,1665,3390,8200,7450445,147
6,bay street corridor,5,14800,280,1.7,9305,14790,795,7610,2395,37.7,9995,10455,4835,10245,14585,490,13175,1900,23940,8590,15335,1780,165,3540,5840,325,175,470500,230235,130105,585790,24853005,21152440,16951645,1010825,560530,500555,540665,475500,375425,295445,285320,200250,150170,80135,3550,5,0,15075,2510,735,740,850,36001105,690,580560,490515,440410,840815,705570,700,5740,17505,68852095,847
7,bayview village,2025,5900,1610,2.22,10545,8440,1020,3205,435,23.7,7220,12625,5605,3930,9070,465,8445,1095,18730,6655,12070,5270,385,3695,345,30,100,455405,395405,410350,520425,735815,10751145,10401170,805860,685760,605780,620750,560775,555660,475585,345440,265355,230315,150230,75115,1025,0,9530,585,260,290,650,3010855,330,365370,360330,350335,655615,520495,1310,3680,13740,29047365,154
8,bayview woodssteeles,1565,1775,1365,2.7,6565,5075,695,970,150,18.4,4735,7535,2720,1985,4555,140,4365,335,11155,4740,6415,2920,240,1610,110,10,65,205185,260265,320270,385365,445435,405410,285285,230310,310385,390535,430520,450525,375475,405520,315400,310400,255330,165265,55180,2055,100,4695,90,70,80,330,1830580,130,200170,205180,200165,290265,255250,1295,2385,7470,6004215,86
9,bedford parknortown,4820,1995,1790,2.68,10890,7790,790,2380,220,9.4,15885,6805,6005,2595,8350,260,7995,610,18565,5905,12650,5940,355,2415,550,90,180,675605,795780,880820,880840,765725,405475,450645,590785,665835,760985,845985,790885,670730,560660,400505,270390,250305,145260,60140,1535,100,8605,140,85,150,440,47452915,265,230215,230215,225240,395390,360275,1985,3815,12765,10868990,224
