,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,married,not_married,total_work_activity,household_income,low_income_percent,avg_household_size,single_parents,two_plus_person_household,one_person_household,single_detached_house,apart_5_plus,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,non_immigrants,immigrants,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_50000_59999,income_above_100k,unemployed,employed,highschool_diploma,no_certificate_diploma_degree,post_secondary_diploma,other_dwelling,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_60000_79999,income_between_80000_99999
West Humber-Clairville,1460,1345,1485,1860,3175,3585,2500,2170,1860,1980,2035,2280,2195,1615,1475,955,750,380,150,30,10,14320,14680,29000,29000,8.7,3.1,1330,885,1990,3930,2510,6995,3705,9710,990,8750,1950,11805,18805,8190,1075,3110,255,80,215,90,50,120,145,875,3940,11940,17055,23435,5305,15245,3351380183569510.0,315285,430315,425380,875855,735860
Mount Olive-Silverstone-Jamestown,1650,1860,2175,2280,2675,2550,2170,1955,1950,2075,2140,1975,1715,1390,1115,720,495,335,95,20,0,12045,13615,25655,25660,15.6,3.2,1630,700,1660,1640,6040,4485,5260,7940,1800,6710,3030,9620,19810,6395,1005,2235,255,10,220,50,80,130,140,965,2575,12420,13245,18280,7130,10755,1551060760900.0,420370,360425,410490,950965,735670
Thistletown-Beaumond Heights,505,540,455,570,745,880,670,620,540,570,690,770,550,500,415,325,255,165,70,10,0,4150,4205,8350,8355,11.8,3,420,230,660,1580,660,2025,1220,2980,260,2740,500,4055,5210,2255,280,660,45,20,110,20,15,40,35,215,1135,3795,4555,6380,1860,4125,325553153000.0,135130,125160,115145,285245,220225
Rexdale-Kipling,505,615,455,515,715,785,695,650,655,655,745,765,765,570,485,340,230,150,70,0,0,4160,4640,8805,8800,13.5,2.6,565,175,1145,1765,630,1990,1955,3690,255,3370,575,5080,4820,2360,300,830,105,10,80,35,30,95,90,320,1195,3740,5065,6770,1870,4210,304054706400.0,245200,145160,200175,240310,260245
Elms-Old Rexdale,440,480,685,635,685,730,610,585,555,535,665,720,640,470,320,255,160,125,35,30,0,3400,4340,7745,7745,12.4,2.9,640,170,660,1000,1395,1760,1430,2910,280,2620,575,4515,4600,1920,245,615,85,0,85,35,0,45,30,315,975,3595,4150,5835,1755,3355,60475195650.0,140100,120110,150100,340260,210245
Kingsview Village-The Westway,1245,1325,1350,1245,1605,1600,1495,1480,1380,1315,1330,1625,1310,1040,935,635,540,330,180,50,0,8765,9325,18090,18090,14.7,2.8,1215,525,1735,2195,4760,4120,3660,6810,975,6100,1685,10150,11150,4455,515,1410,155,15,140,90,40,25,105,745,2350,8035,10055,13935,3835,8895,1353051652250.0,300280,255380,435435,680660,520480
Willowridge-Martingrove-Richview,1065,1190,1240,1175,1330,1370,1380,1295,1390,1310,1510,1600,1510,1310,1205,755,730,650,355,75,0,10055,8890,18945,18945,9.5,2.6,1125,375,2145,3640,3710,4670,3930,8095,500,7485,1110,11495,10275,4445,525,1165,140,15,155,40,20,35,115,640,3315,8300,10645,15420,3160,10850,535440240250.0,295390,335340,340360,710600,610440
Humber Heights-Westmount,395,430,540,525,580,530,545,625,565,590,710,820,745,660,525,395,375,260,135,30,0,4460,4175,8635,8635,10.2,2.4,585,170,1185,1675,1970,2490,1625,3995,120,3770,345,5095,4710,2075,315,520,85,0,60,45,30,25,50,415,1345,3660,4970,7060,1460,4945,55552001550.0,160160,170210,170170,330320,285215
Edenbridge-Humber Valley,520,740,815,885,780,830,800,920,975,950,1130,1240,1140,1025,915,565,455,320,155,40,0,7150,5965,13120,13125,8.2,2.4,675,205,1865,2560,2560,3550,2735,6085,205,5705,580,9040,5890,3080,290,740,155,25,125,75,25,35,105,460,2645,5010,8110,11355,1635,8405,85115309400.0,195205,145260,235295,455410,425305
Princess-Rosethorn,545,590,610,755,690,520,425,580,650,725,825,965,975,730,595,375,290,200,100,25,0,5935,3490,9420,9425,5.6,2.9,350,110,580,3330,445,3310,590,3820,85,3730,165,7615,3400,2230,205,290,95,15,110,65,0,0,30,190,2470,3495,5930,8490,840,6635,1050402010.0,4555,4070,9065,180190,205185
Eringate-Centennial-West Deane,800,835,1005,1000,1160,980,965,1150,985,1165,1390,1580,1445,1085,975,640,630,435,190,30,0,8910,6895,15810,15805,5.6,2.7,800,225,1430,3910,1760,5740,1105,6720,125,6445,400,10295,7870,3950,445,755,150,40,205,55,0,25,60,525,3165,6110,9700,13655,1945,9780,360630105750.0,150165,170200,260255,425520,470380
