,NEIGHBOURHOOD_140,num_crimes
0,Waterfront Communities-The Island,1735
1,West Humber-Clairville,1481
2,Church-Yonge Corridor,1426
3,Islington-City Centre West,1140
4,Downsview-Roding-CFB,1132
5,Bay Street Corridor,1049
6,York University Heights,1007
7,Mimico (includes Humber Bay Shores),910
8,Moss Park,881
9,Kensington-Chinatown,745
10,Annex,725
11,Woburn,671
12,Yorkdale-Glen Park,668
13,West Hill,633
14,Bendale,605
15,South Riverdale,572
16,Wexford/Maryvale,570
17,Rouge,556
18,Rosedale-Moore Park,553
19,Dovercourt-Wallace Emerson-Junction,553
20,Glenfield-Jane Heights,523
21,Milliken,518
22,Willowdale East,516
23,Mount Olive-Silverstone-Jamestown,514
24,Newtonbrook West,498
25,Clairlea-Birchmount,470
26,NSA,464
27,South Parkdale,449
28,Humber Summit,439
29,Weston,428
30,Kennedy Park,422
31,Bedford Park-Nortown,422
32,Malvern,416
33,Dorset Park,411
34,Niagara,410
35,Stonegate-Queensway,406
36,Banbury-Don Mills,402
37,L'Amoreaux,397
38,Agincourt South-Malvern West,396
39,Don Valley Village,395
40,Parkwoods-Donalda,382
41,Clanton Park,368
42,Black Creek,365
43,North St.James Town,352
44,Mount Pleasant West,335
45,Birchcliffe-Cliffside,321
46,Kingsview Village-The Westway,321
47,Rockcliffe-Smythe,321
48,Humbermede,317
49,Bayview Village,315
50,East End-Danforth,314
51,St.Andrew-Windfields,304
52,Eglinton East,298
53,Brookhaven-Amesbury,298
54,Tam O'Shanter-Sullivan,297
55,High Park North,295
56,Lansing-Westgate,288
57,Oakridge,277
58,Willowridge-Martingrove-Richview,275
59,Cliffcrest,271
60,Junction Area,270
61,Trinity-Bellwoods,268
62,Agincourt North,261
63,Englemount-Lawrence,261
64,New Toronto,258
65,Scarborough Village,253
66,Corso Italia-Davenport,247
67,Eringate-Centennial-West Deane,247
68,Pelmo Park-Humberlea,239
69,Thorncliffe Park,238
70,Edenbridge-Humber Valley,238
71,Roncesvalles,237
72,Regent Park,236
73,Willowdale West,235
74,Westminster-Branson,235
75,Dufferin Grove,235
76,Flemingdon Park,234
77,O'Connor-Parkview,234
78,The Beaches,233
79,Victoria Village,232
80,Bridle Path-Sunnybrook-York Mills,232
81,Newtonbrook East,228
82,High Park-Swansea,223
83,Kingsway South,222
84,Lawrence Park South,222
85,Cabbagetown-South St.James Town,219
86,Princess-Rosethorn,219
87,Bathurst Manor,216
88,Leaside-Bennington,212
89,Henry Farm,212
90,Oakwood Village,211
91,Forest Hill South,211
92,Mount Dennis,211
93,University,209
94,Taylor-Massey,208
95,Danforth,208
96,Hillcrest Village,201
97,Little Portugal,201
98,Yonge-Eglinton,199
99,Briar Hill-Belgravia,195
100,Keelesdale-Eglinton West,192
101,Rexdale-Kipling,190
102,Morningside,185
103,Wychwood,179
104,Greenwood-Coxwell,176
105,Weston-Pellam Park,175
106,Playter Estates-Danforth,172
107,Danforth East York,169
108,Ionview,168
109,Mount Pleasant East,163
110,Long Branch,163
111,Woodbine Corridor,161
112,Forest Hill North,160
113,Casa Loma,158
114,Lawrence Park North,157
115,Thistletown-Beaumond Heights,155
116,Palmerston-Little Italy,155
117,Beechborough-Greenbrook,151
118,Runnymede-Bloor West Village,149
119,North Riverdale,147
120,Humewood-Cedarvale,146
121,Steeles,144
122,Rustic,143
123,Etobicoke West Mall,142
124,Highland Creek,138
125,Bayview Woods-Steeles,129
126,Pleasant View,127
127,Elms-Old Rexdale,127
128,Blake-Jones,125
129,Alderwood,122
130,Maple Leaf,119
131,Broadview North,115
132,Yonge-St.Clair,113
133,Markland Wood,111
134,Caledonia-Fairbank,110
135,Centennial Scarborough,108
136,Old East York,104
137,Humber Heights-Westmount,93
138,Guildwood,90
139,Lambton Baby Point,70
140,Woodbine-Lumsden,61
