,NEIGHBOURHOOD_140,num_crimes
0,agincourt north,989
1,agincourt southmalvern west,1453
2,alderwood,480
3,annex,2832
4,banburydon mills,991
5,bathurst manor,706
6,bay street corridor,5200
7,bayview village,748
8,bayview woodssteeles,458
9,bedford parknortown,1116
10,beechboroughgreenbrook,512
11,bendale,2077
12,birchcliffecliffside,1495
13,black creek,1906
14,blakejones,524
15,briar hillbelgravia,889
16,bridle pathsunnybrookyork mills,511
17,broadview north,467
18,brookhavenamesbury,1042
19,cabbagetownsouth stjames town,1202
20,caledoniafairbank,459
21,casa loma,491
22,centennial scarborough,435
23,churchyonge corridor,6446
24,clairleabirchmount,2129
25,clanton park,885
26,cliffcrest,1092
27,corso italiadavenport,810
28,danforth,806
29,danforth east york,601
30,don valley village,1183
31,dorset park,1780
32,dovercourtwallace emersonjunction,2569
33,downsviewrodingcfb,3390
34,dufferin grove,787
35,east enddanforth,1551
36,edenbridgehumber valley,536
37,eglinton east,1536
38,elmsold rexdale,588
39,englemountlawrence,1063
40,eringatecentennialwest deane,624
41,etobicoke west mall,423
42,flemingdon park,935
43,forest hill north,576
44,forest hill south,470
45,glenfieldjane heights,2382
46,greenwoodcoxwell,989
47,guildwood,326
48,henry farm,659
49,high park north,996
50,high parkswansea,860
51,highland creek,571
52,hillcrest village,699
53,humber heightswestmount,432
54,humber summit,1575
55,humbermede,1252
56,humewoodcedarvale,564
57,ionview,641
58,islingtoncity centre west,2784
59,junction area,1032
60,keelesdaleeglinton west,647
61,kennedy park,1565
62,kensingtonchinatown,3659
63,kingsview villagethe westway,1027
64,kingsway south,421
65,lambton baby point,248
66,lamoreaux,1668
67,lansingwestgate,850
68,lawrence park north,446
69,lawrence park south,532
70,leasidebennington,536
71,little portugal,861
72,long branch,626
73,malvern,2276
74,maple leaf,324
75,markland wood,372
76,milliken,1485
77,mimico includes humber bay shores,2376
78,morningside,992
79,moss park,4620
80,mount dennis,800
81,mount olivesilverstonejamestown,2119
82,mount pleasant east,493
83,mount pleasant west,1387
84,new toronto,847
85,newtonbrook east,902
86,newtonbrook west,1480
87,niagara,1843
88,north riverdale,639
89,north stjames town,1528
90,nsa,3305
91,oakridge,1338
92,oakwood village,1099
93,oconnorparkview,1037
94,old east york,406
95,palmerstonlittle italy,791
96,parkwoodsdonalda,1433
97,pelmo parkhumberlea,808
98,playter estatesdanforth,611
99,pleasant view,499
100,princessrosethorn,446
101,regent park,1091
102,rexdalekipling,744
103,rockcliffesmythe,1286
104,roncesvalles,1202
105,rosedalemoore park,1374
106,rouge,1702
107,runnymedebloor west village,501
108,rustic,575
109,scarborough village,1276
110,south parkdale,1805
111,south riverdale,2341
112,standrewwindfields,853
113,steeles,655
114,stonegatequeensway,993
115,tam oshantersullivan,1173
116,taylormassey,920
117,the beaches,963
118,thistletownbeaumond heights,637
119,thorncliffe park,778
120,trinitybellwoods,1213
121,university,1170
122,victoria village,888
123,waterfront communitiesthe island,6871
124,west hill,2926
125,west humberclairville,4841
126,westminsterbranson,900
127,weston,1655
128,westonpelham park,713
129,wexfordmaryvale,2092
130,willowdale east,1847
131,willowdale west,815
132,willowridgemartingroverichview,1102
133,woburn,3155
134,woodbine corridor,725
135,woodbinelumsden,295
136,wychwood,721
137,yongeeglinton,660
138,yongestclair,324
139,york university heights,3556
140,yorkdaleglen park,1835
