OBJECTID,X,Y,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,MCI_CATEGORY,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,MONTH
289649,-8834619.25484068,5412888.66273017,GO-2022526645,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,regent park,-79.362735059712,43.6594305985343,1
202265,-8835056.36128531,5411540.39665495,GO-20191949324,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,21,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,waterfront communitiesthe island,-79.3666616540012,43.6506676897713,1
204174,-8824273.24696983,5420839.13171732,GO-20192061232,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,8,D41,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,clairleabirchmount,-79.2697952901998,43.711077806407,1
212746,6.32778e-09,5.664924e-09,GO-202081087,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,NSA,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,nsa,0.0,0.0,1
217217,-8849810.29604997,5413825.68909895,GO-2020389451,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,19,D11,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault,lambton baby point,-79.4991985053962,43.6655199467144,1
6944,6.32778e-09,5.664924e-09,GO-20141786026,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,NSA,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,nsa,0.0,0.0,1
234007,-8827298.21720917,5419206.15290182,GO-20201558493,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,11,D55,"Apartment (Rooming House, Condo)",Apartment,1420,110,Assault,oconnorparkview,-79.2969690597414,43.7004734068512,1
236177,-8823748.97090738,5427083.57266514,GO-20201705779,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,dorset park,-79.2650856376227,43.7516112696426,1
202264,-8835056.36128531,5411540.39665495,GO-20191949324,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,21,D51,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault,waterfront communitiesthe island,-79.3666616540012,43.6506676897713,1
236178,-8823748.97090738,5427083.57266514,GO-20201705779,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,dorset park,-79.2650856376227,43.7516112696426,1
26601,-8825174.50147848,5423741.94823182,GO-20143187432,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,9,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,ionview,-79.2778913974722,43.7299237709244,1
241698,-8840261.21261385,5411814.57654324,GO-20202143870,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,trinitybellwoods,-79.4134176291775,43.6524497960262,1
241757,-8840261.21261385,5411814.57654324,GO-20202093848,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,15,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,trinitybellwoods,-79.4134176291775,43.6524497960262,1
241771,-8840261.21261385,5411814.57654324,GO-20202093848,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,15,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,trinitybellwoods,-79.4134176291775,43.6524497960262,1
242291,-8838797.06208313,5420111.35077276,GO-20202356349,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,yongeeglinton,-79.4002649414966,43.7063519023338,1
242294,-8838797.06208313,5420111.35077276,GO-20202356349,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault,yongeeglinton,-79.4002649414966,43.7063519023338,1
244665,-8842569.27330997,5419550.23002886,GO-20202307809,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,forest hill north,-79.4341512914693,43.7027079646231,1
236262,-8823748.97090738,5427083.57266514,GO-20201705779,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,dorset park,-79.2650856376227,43.7516112696426,1
246039,-8842718.45957271,5432592.79075,GO-20202417161,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,newtonbrook west,-79.4354914536959,43.7873495299065,1
202131,-8820708.50432701,5430124.31759138,GO-20191940425,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault,woburn,-79.2377726621554,43.7713392016949,1
93986,-8838974.71374154,5426934.53838515,GO-20161981424,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D32,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,standrewwindfields,-79.4018608128964,43.7506441886787,1
45349,-8826009.91752145,5418672.91657361,GO-2015927932,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,110,Assault,oakridge,-79.2853960670724,43.6970102181584,1
49084,-8843520.12221024,5426374.1604622,GO-20151185371,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,clanton park,-79.4426929115256,43.7470077655441,1
55628,-8813266.7342512,5435564.98812919,GO-20151622847,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault,rouge,-79.1709221035688,43.8066212855521,1
58847,-8825417.0357021,5428069.31602334,GO-20151824506,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,dorset park,-79.2800701186589,43.7580073492976,1
63534,-8834229.84812993,5411972.27767374,GO-20152123218,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,9,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Auto Theft,moss park,-79.3592369598866,43.6534747925785,1
67331,-8827750.95847628,5434900.63123764,GO-2016141505,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,10,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault,lamoreaux,-79.3010361044176,43.8023141289496,1
1841,-8823694.23244209,5424181.99644706,GO-20141396704,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,12,D41,Bar / Restaurant,Commercial,2120,200,Break and Enter,kennedy park,-79.2645939144561,43.7327801800712,1
197000,-8824771.90151565,5419639.45580434,GO-20191607586,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,clairleabirchmount,-79.2742747797663,43.7032874147651,1
71271,-8837739.67230385,5414704.37635444,GO-2016412904,2013-01-01 05:00:00,2013.0,January,1.0,1.0,Tuesday   ,0,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,annex,-79.3907662474275,43.6712296116892,1
