"neighbourhood","num_cameras"
"agincourt north",2
"agincourt southmalvern west",2
"banburydon mills",3
"bathurst manor",2
"bay street corridor",5
"bayview village",1
"bayview woodssteeles",1
"bedford parknortown",1
"bendale",1
"birchcliffecliffside",1
"black creek",1
"brookhavenamesbury",2
"casa loma",2
"centennial scarborough",1
"churchyonge corridor",1
"clairleabirchmount",3
"clanton park",2
"cliffcrest",1
"don valley village",2
"dorset park",3
"dovercourtwallace emersonjunction",2
"downsviewrodingcfb",4
"eglinton east",2
"englemountlawrence",1
"forest hill south",1
"glenfieldjane heights",1
"greenwoodcoxwell",1
"henry farm",1
"high parkswansea",1
"highland creek",1
"humber heightswestmount",1
"humber summit",3
"islingtoncity centre west",7
"junction area",1
"keelesdaleeglinton west",1
"kensingtonchinatown",1
"kingsview villagethe westway",1
"lamoreaux",1
"lansingwestgate",1
"lawrence park south",1
"long branch",1
"malvern",5
"markland wood",1
"milliken",3
"mimico includes humber bay shores",3
"moss park",4
"mount dennis",1
"newtonbrook west",2
"niagara",1
"oconnorparkview",1
"palmerstonlittle italy",1
"pleasant view",1
"princessrosethorn",1
"rockcliffesmythe",1
"roncesvalles",2
"rouge",2
"rustic",1
"south parkdale",2
"south riverdale",2
"standrewwindfields",1
"steeles",6
"stonegatequeensway",1
"tam oshantersullivan",2
"the beaches",2
"thistletownbeaumond heights",2
"thorncliffe park",1
"waterfront communitiesthe island",5
"west hill",1
"west humberclairville",5
"westminsterbranson",1
"weston",1
"wexfordmaryvale",1
"willowridgemartingroverichview",2
"woburn",6
"wychwood",1
"york university heights",1
"yorkdaleglen park",2
